Адрес;Цена;Объект;Площадь
ул.Александрова,д. 12;1 150 000;1-комн. квартира;30.5 м2
ул.Комарова,д. 7;3 250 000;1-комн. квартира;34 м2
ул.Лидии Базановой,д. 20;5 700 000;1-комн. квартира;69 м2
ул.Константина Заслонова;1 600 000;1-комн. квартира;45.4 м2
ул.Хромова,д. 14;2 400 000;1-комн. квартира;30 м2
ул.Новочеркасская,д. 53;3 550 000;1-комн. квартира;37.1 м2
ул.Луначарского,д. 1;3 900 000;1-комн. квартира;42 м2
ул.Сиреневая,д. 3;4 950 000;1-комн. квартира;39.8 м2
ул.Игуменка д.,д. 8;1 560 000;1-комн. квартира;28.8 м2
ул.Склизкова,д. 84, к1;3 000 000;1-комн. квартира;30.3 м2
ул.Терещенко;3 300 000;1-комн. квартира;43.8 м2
ул.Гусева б-р,д. 57;4 250 000;1-комн. квартира;38 м2
ул.Силикатная 2-я,д. 4;3 050 000;1-комн. квартира;31 м2
ул.Горького,д. 99;4 299 000;1-комн. квартира;41 м2
ул.Зои Космодемьянской;3 497 000;1-комн. квартира;33 м2
ул.Химинститута п.,д. 7;1 800 000;1-комн. квартира;30 м2
ул.Гусева б-р,д. 4;2 650 000;1-комн. квартира;30.5 м2
ул.Левитана,д. 54;3 990 000;1-комн. квартира;37.7 м2
ул.Терещенко;3 300 000;1-комн. квартира;37.2 м2
ул.Казанский пр-т;1 060 000;1-комн. квартира;31 м2
ул.Паши Савельевой,д. 52, к4;3 890 000;1-комн. квартира;35.7 м2
ул.Можайского,д. 85;4 100 000;1-комн. квартира;38 м2
ул.Квакшино д.,д. 16;1 600 000;1-комн. квартира;30 м2
ул.Машинистов,д. 26а;800 000;1-комн. квартира;33.5 м2
ул.Рябеевское ш.,д. 14а;5 100 000;1-комн. квартира;39.9 м2
ул.Гусева б-р,д. 57;3 350 000;1-комн. квартира;37.82 м2
ул.Петербургское ш.,д. 51;2 830 000;1-комн. квартира;29 м2
ул.Макарова,д. 4, к1;5 500 000;1-комн. квартира;55 м2
ул.Благоева,д. 4, к3;3 899 000;1-комн. квартира;41 м2
ул.Гусева б-р,д. 57;3 750 000;1-комн. квартира;38 м2
ул.Литвинки п.,д. 29;2 600 000;1-комн. квартира;35 м2
ул.Коробкова,д. 12;3 800 000;1-комн. квартира;37.4 м2
ул.Паши Савельевой,д. 54;3 799 000;1-комн. квартира;36.4 м2
ул.Победы пр-т,д. 78;3 050 000;1-комн. квартира;44 м2
ул.Складская,д. 164, к2;4 280 000;1-комн. квартира;46.1 м2
ул.Красина 2-я,д. 49;5 595 000;1-комн. квартира;57 м2
ул.Фадеева,д. 26, к2;2 500 000;1-комн. квартира;30.4 м2
ул.Молодёжный б-р.,д. 5;2 950 000;1-комн. квартира;34 м2
ул.Петербургское ш.,д. 20;2 300 000;1-комн. квартира;31 м2
ул.Псковская,д. 2;5 200 000;1-комн. квартира;50.3 м2
ул.Озёрная,д. 7, к9;5 100 000;1-комн. квартира;43.6 м2
ул.Ерофеева,д. 21;920 000;1-комн. квартира;15.8 м2
ул.Химинститута п.,д. 48;2 850 000;1-комн. квартира;32.5 м2
ул.Сергея Есенина,д. 3;4 200 000;1-комн. квартира;36.1 м2
ул.Фрунзе,д. 2, к2;3 600 000;1-комн. квартира;41 м2
ул.Республиканская,д. 11;2 690 000;1-комн. квартира;38 м2
ул.Кольцевая,д. 81, к1;5 100 000;1-комн. квартира;41.7 м2
ул.Романово д.,д. 4;1 150 000;1-комн. квартира;41 м2
ул.Новочеркасская,д. 51;3 190 000;1-комн. квартира;37 м2
ул.Скворцова-Степанова,д. 20;3 350 000;1-комн. квартира;37.5 м2
ул.Гусева б-р,д. 56;4 130 000;1-комн. квартира;36 м2
ул.Никитина пер.,д. 8, к3;2 990 000;1-комн. квартира;30.5 м2
ул.Швейников пр-д,д. 5, к17;2 650 000;1-комн. квартира;21.8 м2
ул.Ногина б-р,д. 2;3 750 000;1-комн. квартира;37 м2
ул.Склизкова,д. 27, к1;5 350 000;1-комн. квартира;45 м2
ул.Складская,д. Дом у Ручья;3 990 000;1-комн. квартира;46 м2
ул.Гусева б-р,д. 57;3 930 000;1-комн. квартира;38 м2
ул.Гусева б-р,д. 57;3 800 000;1-комн. квартира;38 м2
ул.Ленина пр-т,д. 14;4 000 000;1-комн. квартира;33 м2
ул.Республиканская,д. 11;2 780 000;1-комн. квартира;38.1 м2
ул.Октябрьский пр-т,д. 95, к5;2 950 000;1-комн. квартира;33.8 м2
ул.Речная,д. 1;670 000;1-комн. квартира;32.7 м2
ул.Республиканская,д. 9;3 650 000;1-комн. квартира;36 м2
ул.Новочеркасская,д. 50;2 700 000;1-комн. квартира;35.5 м2
ул.Гусева б-р,д. 57;3 400 000;1-комн. квартира;38 м2
ул.Севастьянова,д. 1, к1;2 200 000;1-комн. квартира;32 м2
ул.Спортивный пер.,д. 16;2 850 000;1-комн. квартира;30.2 м2
ул.Симеоновская,д. 63;2 690 000;1-комн. квартира;27.4 м2
ул.Михаила Румянцева,д. 42;3 600 000;1-комн. квартира;40.6 м2
ул.Большая,д. 53;300 000;1-комн. квартира;29.2 м2
ул.Красина 2-я,д. 49;4 900 000;1-комн. квартира;52.1 м2
ул.Александровка,д. 3;3 680 000;1-комн. квартира;58.1 м2
ул.Чехова,д. 13А;960 000;1-комн. квартира;31 м2
ул.Екатерины Фарафоновой,д. 36;3 505 000;1-комн. квартира;30.3 м2
ул.Фадеева,д. 36, к2;2 600 000;1-комн. квартира;30.5 м2
ул.Степана Горобца,д. 10;4 950 000;1-комн. квартира;45 м2
